claim_id,account_id,claim_date,promo_type,claim_amount,payout_upi_id,split
CLM0000001,ACC000002,2026-11-30 17:10:01,signup_bonus,181.65,dalbir8384@ybl,test
CLM0000002,ACC000003,2026-09-09 07:46:22,referral_bonus,51.1,khoslagautam525@okaxis,train
CLM0000003,ACC000003,2026-10-07 16:58:24,referral_bonus,35.0,khoslagautam525@okaxis,test
CLM0000004,ACC000005,2026-07-30 12:16:45,signup_bonus,59.85,chakradhardeol968@okicici,train
CLM0000005,ACC000005,2026-07-25 11:16:31,reload_offer,49.35,chakradhardeol968@okicici,train
CLM0000006,ACC000005,2026-07-03 17:13:38,reload_offer,11.35,chakradhardeol968@okicici,train
CLM0000007,ACC000006,2026-11-23 10:59:42,signup_bonus,17.5,morarpratyush964@okaxis,test
CLM0000008,ACC000007,2026-04-11 21:08:20,reload_offer,21.23,kashishchatterjee401@okaxis,train
CLM0000009,ACC000007,2026-04-10 17:12:13,signup_bonus,12.07,kashishchatterjee401@okaxis,train
CLM0000010,ACC000008,2026-10-25 08:18:44,referral_bonus,5.58,jhawatika981@okhdfcbank,test
CLM0000011,ACC000009,2026-07-29 23:35:56,cashback_offer,37.78,udyati97270@okicici,train
CLM0000012,ACC000009,2026-08-06 10:22:43,referral_bonus,10.83,udyati97270@okicici,train
CLM0000013,ACC000011,2026-06-01 03:32:36,cashback_offer,37.45,saumya49214@okaxis,train
CLM0000014,ACC000012,2026-08-22 20:04:02,signup_bonus,70.0,wgala27@oksbi,train
CLM0000015,ACC000013,2026-08-27 14:19:41,cashback_offer,47.23,qbaral119@okaxis,train
CLM0000016,ACC000014,2026-04-05 21:32:16,signup_bonus,90.98,harini59491@paytm,train
CLM0000017,ACC000014,2026-02-16 13:44:07,referral_bonus,22.75,harini59491@paytm,train
CLM0000018,ACC000016,2026-05-11 03:24:14,reload_offer,20.65,mukherjeesanaya338@paytm,train
CLM0000019,ACC000016,2026-05-07 04:04:04,cashback_offer,32.53,mukherjeesanaya338@paytm,train
CLM0000020,ACC000017,2026-03-26 08:41:56,signup_bonus,52.5,arin75749@oksbi,train
CLM0000021,ACC000017,2026-04-10 13:51:28,signup_bonus,79.1,arin75749@oksbi,train
CLM0000022,ACC000019,2026-12-11 23:52:48,reload_offer,40.95,ftaneja932@okaxis,test
CLM0000023,ACC000020,2026-10-20 20:08:15,cashback_offer,37.78,laksh68821@paytm,test
CLM0000024,ACC000021,2026-04-22 13:50:37,reload_offer,15.56,lajita32155@ybl,train
