upi_id,linked_account_count,linked_accounts,total_claim_count,total_payout_amount
matthew60600@okaxis,1,ACC000001,0,0.0
dalbir8384@ybl,1,ACC000002,1,181.65
khoslagautam525@okaxis,1,ACC000003,2,86.1
kapoordavid349@paytm,1,ACC000004,0,0.0
chakradhardeol968@okicici,1,ACC000005,3,120.55
morarpratyush964@okaxis,1,ACC000006,1,17.5
kashishchatterjee401@okaxis,1,ACC000007,2,33.3
jhawatika981@okhdfcbank,1,ACC000008,1,5.58
udyati97270@okicici,1,ACC000009,2,48.61
yagneshbumb402@okaxis,1,ACC000010,0,0.0
saumya49214@okaxis,1,ACC000011,1,37.45
wgala27@oksbi,1,ACC000012,1,70.0
qbaral119@okaxis,1,ACC000013,1,47.23
harini59491@paytm,1,ACC000014,2,113.73
chanderanamika713@okicici,1,ACC000015,0,0.0
mukherjeesanaya338@paytm,1,ACC000016,2,53.18
arin75749@oksbi,1,ACC000017,2,131.6
kamdarbhavna226@oksbi,1,ACC000018,0,0.0
ftaneja932@okaxis,1,ACC000019,1,40.95
laksh68821@paytm,1,ACC000020,1,37.78
lajita32155@ybl,1,ACC000021,1,15.56
adviksundaram562@ybl,1,ACC000022,1,10.83
aayush26445@okhdfcbank,1,ACC000023,5,276.67
jeremiah89835@ybl,1,ACC000024,1,35.0
zramanathan624@oksbi,1,ACC000025,3,261.76
mbhatia59@okhdfcbank,1,ACC000026,3,47.21
imaranoak547@okaxis,1,ACC000027,0,0.0
harrisonpatla945@ybl,1,ACC000028,3,54.93
krishadixit803@oksbi,1,ACC000029,0,0.0
urvi11260@okhdfcbank,1,ACC000030,1,2.93
esrinivasan166@paytm,1,ACC000031,1,10.83
alka7220@okicici,1,ACC000032,1,20.28
manan80941@okhdfcbank,1,ACC000033,2,35.49
lalzarna416@okhdfcbank,1,ACC000034,1,17.5
yadavinarayan436@oksbi,1,ACC000035,1,55.98
wriddhishrattan271@oksbi,1,ACC000036,1,11.9
uparekh727@okhdfcbank,1,ACC000037,1,19.6
urmi43297@okaxis,1,ACC000038,1,10.15
xpalla565@okhdfcbank,1,ACC000039,0,0.0
vhegde673@okaxis,1,ACC000040,3,110.23
srinivashemangini858@okhdfcbank,1,ACC000041,1,52.5
ramaryan614@okhdfcbank,1,ACC000042,2,90.28
gabriel67251@oksbi,1,ACC000043,0,0.0
onkardatta86@okaxis,1,ACC000044,1,56.17
ndhingra148@okaxis,1,ACC000045,4,185.13
nachiket88659@okhdfcbank,1,ACC000046,0,0.0
vyasliam932@ybl,1,ACC000047,1,20.65
ayaankrishnamurthy653@okicici,1,ACC000048,1,17.15
aashi86502@okicici,1,ACC000049,1,115.85
tara98259@oksbi,1,ACC000050,2,107.78
maxviswanathan786@oksbi,1,ACC000051,1,55.98
aayushdoctor637@ybl,1,ACC000052,3,236.6
